Danish,English
jeg ,I
det ,that
er ,is
du ,you
ikke ,does not
at ,to
i ,in
en ,one
og ,and
har ,have
vi ,we
til ,to
på ,on
hvad ,what
med ,with
så ,so
for ,for
mig ,me
der ,there
han ,he
dig ,you
de ,the
den ,the
kan ,able to
af ,of
var ,was
vil ,will
her ,here
et ,one
skal ,must
men ,but
ved ,by
om ,about
nu ,now
ja ,Yes
som ,as
hun ,she
nej ,no
min ,mine
noget ,something
ham ,him
være ,be
bare ,just
din ,your
hvor ,where
må ,must
hvis ,if
os ,U.S
kom ,came
ud ,out
dem ,them
godt ,well
fra ,from
have ,Garden
ville ,would
se ,see
gør ,do
okay ,Okay
hvorfor ,Why
alle ,all
lige ,just
op ,up
hende ,her
sig ,themselves
hvordan ,how
tror ,think
tak ,thanks
gøre ,do
kunne ,could
lad ,let
kommer ,coming
havde ,had
eller ,or
meget ,much
nok ,enough
få ,few
da ,as
ingen ,none
man ,you
gå ,go
går ,walks
hvem ,who
bliver ,becomes
efter ,after
sagde ,said
tilbage ,back
når ,when
alt ,everything
måske ,maybe
også ,also
jo ,yes
mit ,my
ind ,in
vores ,our
hej ,Hello
mere ,more
hans ,his
skulle ,should
blev ,became
nogen ,anyone
lidt ,little
aldrig ,never
får ,sheep
siger ,say
selv ,self
far ,sheep
over ,over
to ,thaw
kun ,only
sådan ,such
ser ,looking
dit ,your
jer ,you
igen ,again
mor ,mother
sammen ,together
tager ,takes
mand ,male
hele ,all
deres ,their
dag ,day
tage ,take
mine ,my
sige ,say
gjorde ,did
fordi ,because
end ,than
undskyld ,Pardon
før ,before
været ,been
komme ,come
hold ,team
væk ,away
dette ,this
blive ,be
år ,year
ned ,down
helt ,quite
fik ,got
tid ,time
denne ,this
god ,good
gang ,walk
laver ,doing
nogle ,some
sted ,place
mange ,many
folk ,people
dine ,yours
tale ,talk
mener ,means
tag ,roof
ting ,thing
siden ,since
finde ,find
altid ,always
brug ,use
stadig ,still
hjem ,home
virkelig ,really
åh ,oh
fint ,fine
anden ,other
lille ,little
kender ,know
andre ,others
elsker ,love
liv ,life
intet ,nothing
tog ,took
ret ,right
gerne ,Gladly
uden ,without
vent ,Wait
hendes ,hers
vel ,well
lide ,suffer
hjælpe ,help
set ,seen
mod ,against
troede ,believed
tre ,three
vide ,know
gud ,God
gik ,went
klar ,clear
bedre ,better
vej ,way
gjort ,done
sidste ,last
sker ,happens
død ,death
samme ,same
vidste ,knew
sin ,his
fanden ,damn it
forstår ,understand
arbejde ,occupation
nå ,reach
hør ,hear
første ,first
giv ,give
penge ,money
hjælp ,help
andet ,other things
hen ,there
ven ,friend
giver ,gives
aften ,evening
blevet ,became
jeres ,your
give ,give
burde ,should
høre ,hear
taler ,speaks
længe ,for a long time
eneste ,only
morgen ,morning
endnu ,yet
under ,below
holde ,hold
fandt ,found
bruge ,use
skat ,treasure
synes ,seem
bedste ,best
står ,stands
venner ,friends
fortælle ,tell
sikker ,safe
finder ,finds
vær ,be
navn ,name
skete ,happened
måde ,manner
tro ,believe
døde ,died
sikkert ,safe
hos ,with
selvfølgelig ,of course
holder ,holder
par ,couple
hedder ,called
nødt ,need
flere ,more
fået ,got
behøver ,needs
hver ,every
først ,first
engang ,one time
vist ,displayed
verden ,world
betyder ,means
ude ,out
ellers ,or else
snart ,soon
stop ,stop
stor ,big
sir ,sir
bange ,afraid
børn ,children
næste ,next
faktisk ,actually
gav ,gave
søn ,son
pige ,girl
fyr ,guy
prøver ,samples
ked ,sad
derfor ,Therefore
hallo ,Hello
familie ,family
gange ,times
gode ,excellent
tiden ,the time
øjeblik ,moment
nye ,new
store ,large
lade ,let
lave ,make
ligesom ,just like
alene ,alone
mænd ,men
møde ,meet
ihjel ,to death
skyld ,fault
sagt ,said
gamle ,old
dage ,days
galt ,wrong
mennesker ,people
kone ,wife
mr ,Mr
altså ,that is
ses ,see ya
fundet ,found
allerede ,already
arbejder ,works
grund ,reason
slags ,kind of
stille ,quietly
én ,one
fem ,five
hvornår ,when
taget ,taken
ønsker ,wishes
dø ,die
rigtig ,correct
glad ,glad
orden ,order
huske ,remember
længere ,further
disse ,these
farvel ,Goodbye
slå ,beat
hørte ,heard
lyder ,sounds
begge ,both
bil ,car
dræbe ,kill
hinanden ,each other
hørt ,heard
del ,share
rigtigt ,right
minutter ,minutes
barn ,child
politiet ,the police
fejl ,error
s ,p
senere ,later
bilen ,the car
håber ,hope
kvinde ,woman
hører ,belongs
haft ,had
virker ,works
herfra ,from here
fire ,four
l ,l
tænkte ,thought
kommet ,Came
sket ,happened
dør ,door
helvede ,hell
hus ,House
fortæl ,tell
rolig ,calm
venter ,waiting
hurtigt ,quickly
frem ,forth
klare ,pull off
kører ,driving
ny ,new
heller ,either
spørgsmål ,questions
langt ,long
rundt ,round
bror ,brother
næsten ,almost
hvilken ,Which one
byen ,the city
bliv ,stay
sandt ,true
gået ,gone
livet ,life
pas ,passport
leder ,leader
bør ,ought to
indtil ,till
fortalte ,told
side ,page
inden ,before
hellere ,rather
ringer ,calling
bad ,bath
imod ,against
videre ,continue
hey ,hey
tænker ,think
lort ,crap
mr. ,Mr.
ingenting ,nothing
mens ,while
beklager ,Sorry
pis ,shit
sit ,his
problem ,problem
ord ,word
vejen ,the road
sød ,sweet
ondt ,pain
dreng ,boy
sent ,late
sjovt ,funny
sæt ,set
klarer ,manage
lang ,long
job ,job
inde ,inside
datter ,daughter
problemer ,problems
timer ,hours
hr ,Sir
prøve ,sample
svært ,difficult
køre ,drive
nogensinde ,ever
bag ,behind
lader ,barns
snakke ,talk
færdig ,done
vise ,show
stedet ,the place
ligner ,looks like
ti ,ten
hr. ,Sir.
dræbte ,killed
egen ,own
gammel ,old
hjemme ,at home
ok ,OK
forbi ,past
tænk ,think
fantastisk ,fantastic
dog ,However
bor ,ought to
mad ,food
fri ,free
pengene ,the money
sidder ,sitting
tænke ,think
stoppe ,stop
john ,john
gennem ,through
føler ,feel
omkring ,around
ad ,ad
ske ,Spoon
igennem ,through
mellem ,between
velkommen ,welcome
kæft ,shut up
måtte ,mat
ringe ,call
hader ,hate
fat ,grasp
jack ,jack
løb ,race
stå ,stand
spise ,eat
vente ,wait
chance ,chance
flot ,nice
ligger ,lies
slet ,Delete
nyt ,new
slap ,loose
døren ,the door
våben ,arms
slår ,hits
kalder ,calling
husker ,remember
handler ,acts
ring ,ring
passer ,match
hvilket ,which
fortæller ,Narrator
beder ,prays
mest ,most
lavet ,made
huset ,the House
al ,eel
tæt ,close
snakker ,talking
uge ,week
seks ,six
hovedet ,the head
spørge ,ask
hånd ,hand
søster ,sister
leve ,live
plads ,space
hjælper ,helps
redde ,save
sgu ,wow
holdt ,held
historie ,history
sine ,his
resten ,the rest
ben ,leg
bruger ,user
helst ,preferably
fast ,firm
talte ,spoke
dræbt ,killed
stort ,large
glem ,forget
blod ,blood
live ,live
nummer ,number